Font: Noto Sans JP  Style: Thin
Point Size: 64   SP/PD Ratio: 7.8%

Characters included: 3761/7151
Missing characters: 22
Excluded characters: 3368

Characters missing from font file:
----------------------------------------
ID: 65394	Hex: FF72	Char [ｲ]
ID: 65396	Hex: FF74	Char [ｴ]
ID: 65397	Hex: FF75	Char [ｵ]
ID: 65399	Hex: FF77	Char [ｷ]
ID: 65401	Hex: FF79	Char [ｹ]
ID: 65402	Hex: FF7A	Char [ｺ]
ID: 65403	Hex: FF7B	Char [ｻ]
ID: 65405	Hex: FF7D	Char [ｽ]
ID: 65406	Hex: FF7E	Char [ｾ]
ID: 65407	Hex: FF7F	Char [ｿ]
ID: 65408	Hex: FF80	Char [ﾀ]
ID: 65409	Hex: FF81	Char [ﾁ]
ID: 65410	Hex: FF82	Char [ﾂ]
ID: 65411	Hex: FF83	Char [ﾃ]
ID: 65413	Hex: FF85	Char [ﾅ]
ID: 65414	Hex: FF86	Char [ﾆ]
ID: 65415	Hex: FF87	Char [ﾇ]
ID: 65416	Hex: FF88	Char [ﾈ]
ID: 65417	Hex: FF89	Char [ﾉ]
ID: 65418	Hex: FF8A	Char [ﾊ]
ID: 65420	Hex: FF8C	Char [ﾌ]
ID: 65421	Hex: FF8D	Char [ﾍ]
ID: 65422	Hex: FF8E	Char [ﾎ]
ID: 65423	Hex: FF8F	Char [ﾏ]
ID: 65424	Hex: FF90	Char [ﾐ]
ID: 65425	Hex: FF91	Char [ﾑ]
ID: 65426	Hex: FF92	Char [ﾒ]
ID: 65427	Hex: FF93	Char [ﾓ]
ID: 65428	Hex: FF94	Char [ﾔ]
ID: 65429	Hex: FF95	Char [ﾕ]
ID: 65430	Hex: FF96	Char [ﾖ]
ID: 65433	Hex: FF99	Char [ﾙ]
ID: 65434	Hex: FF9A	Char [ﾚ]
ID: 65435	Hex: FF9B	Char [ﾛ]
ID: 65436	Hex: FF9C	Char [ﾜ]
ID: 65382	Hex: FF66	Char [ｦ]
ID: 65437	Hex: FF9D	Char [ﾝ]
ID: 65383	Hex: FF67	Char [ｧ]
ID: 65384	Hex: FF68	Char [ｨ]
ID: 65385	Hex: FF69	Char [ｩ]
ID: 65387	Hex: FF6B	Char [ｫ]
ID: 65391	Hex: FF6F	Char [ｯ]
ID: 65388	Hex: FF6C	Char [ｬ]
ID: 65390	Hex: FF6E	Char [ｮ]
ID: 12354	Hex: 3042	Char [あ]
ID: 12356	Hex: 3044	Char [い]
ID: 12358	Hex: 3046	Char [う]
ID: 12359	Hex: 3047	Char [ぇ]
ID: 12360	Hex: 3048	Char [え]
ID: 12361	Hex: 3049	Char [ぉ]
ID: 12362	Hex: 304A	Char [お]
ID: 12363	Hex: 304B	Char [か]
ID: 12364	Hex: 304C	Char [が]
ID: 12366	Hex: 304E	Char [ぎ]
ID: 12368	Hex: 3050	Char [ぐ]
ID: 12369	Hex: 3051	Char [け]
ID: 12371	Hex: 3053	Char [こ]
ID: 12372	Hex: 3054	Char [ご]
ID: 12374	Hex: 3056	Char [ざ]
ID: 12375	Hex: 3057	Char [し]
ID: 12377	Hex: 3059	Char [す]
ID: 12378	Hex: 305A	Char [ず]
ID: 12379	Hex: 305B	Char [せ]
ID: 12381	Hex: 305D	Char [そ]
ID: 12382	Hex: 305E	Char [ぞ]
ID: 12383	Hex: 305F	Char [た]
ID: 12450	Hex: 30A2	Char [ア]
ID: 12451	Hex: 30A3	Char [ィ]
ID: 12452	Hex: 30A4	Char [イ]
ID: 12453	Hex: 30A5	Char [ゥ]
ID: 12458	Hex: 30AA	Char [オ]
ID: 12459	Hex: 30AB	Char [カ]
ID: 12460	Hex: 30AC	Char [ガ]
ID: 12461	Hex: 30AD	Char [キ]
ID: 12462	Hex: 30AE	Char [ギ]
ID: 12463	Hex: 30AF	Char [ク]
ID: 12464	Hex: 30B0	Char [グ]
ID: 12465	Hex: 30B1	Char [ケ]
ID: 12466	Hex: 30B2	Char [ゲ]
ID: 12468	Hex: 30B4	Char [ゴ]
ID: 12469	Hex: 30B5	Char [サ]
ID: 12470	Hex: 30B6	Char [ザ]
ID: 12471	Hex: 30B7	Char [シ]
ID: 12472	Hex: 30B8	Char [ジ]
ID: 12473	Hex: 30B9	Char [ス]
ID: 12474	Hex: 30BA	Char [ズ]
ID: 12475	Hex: 30BB	Char [セ]
ID: 12476	Hex: 30BC	Char [ゼ]
ID: 12478	Hex: 30BE	Char [ゾ]
ID: 12479	Hex: 30BF	Char [タ]
ID: 914	Hex: 392	Char [Β]
ID: 915	Hex: 393	Char [Γ]
ID: 917	Hex: 395	Char [Ε]
ID: 918	Hex: 396	Char [Ζ]
ID: 919	Hex: 397	Char [Η]
ID: 920	Hex: 398	Char [Θ]
ID: 922	Hex: 39A	Char [Κ]
ID: 925	Hex: 39D	Char [Ν]
ID: 926	Hex: 39E	Char [Ξ]
ID: 927	Hex: 39F	Char [Ο]
ID: 928	Hex: 3A0	Char [Π]
ID: 929	Hex: 3A1	Char [Ρ]
ID: 933	Hex: 3A5	Char [Υ]
ID: 935	Hex: 3A7	Char [Χ]
ID: 1041	Hex: 411	Char [Б]
ID: 1042	Hex: 412	Char [В]
ID: 1043	Hex: 413	Char [Г]
ID: 1045	Hex: 415	Char [Е]
ID: 1046	Hex: 416	Char [Ж]
ID: 1048	Hex: 418	Char [И]
ID: 1050	Hex: 41A	Char [К]
ID: 1053	Hex: 41D	Char [Н]
ID: 1054	Hex: 41E	Char [О]
ID: 1055	Hex: 41F	Char [П]
ID: 1056	Hex: 420	Char [Р]
ID: 1061	Hex: 425	Char [Х]
ID: 1063	Hex: 427	Char [Ч]
ID: 1064	Hex: 428	Char [Ш]
ID: 1066	Hex: 42A	Char [Ъ]
ID: 1067	Hex: 42B	Char [Ы]
ID: 1068	Hex: 42C	Char [Ь]
ID: 38463	Hex: 963F	Char [阿]
ID: 24859	Hex: 611B	Char [愛]
ID: 33564	Hex: 831C	Char [茜]
ID: 33894	Hex: 8466	Char [葦]
ID: 25110	Hex: 6216	Char [或]
ID: 38560	Hex: 96A0	Char [隠]
ID: 28879	Hex: 70CF	Char [烏]
ID: 32701	Hex: 7FBD	Char [羽]
ID: 38632	Hex: 96E8	Char [雨]
ID: 19985	Hex: 4E11	Char [丑]
ID: 33276	Hex: 81FC	Char [臼]
ID: 28198	Hex: 6E26	Char [渦]
ID: 22040	Hex: 5618	Char [嘘]
ID: 21764	Hex: 5504	Char [唄]
ID: 38287	Hex: 958F	Char [閏]
ID: 22082	Hex: 5642	Char [噂]
ID: 20113	Hex: 4E91	Char [云]
ID: 36939	Hex: 904B	Char [運]
ID: 25276	Hex: 62BC	Char [押]
ID: 26106	Hex: 65FA	Char [旺]
ID: 27431	Hex: 6B27	Char [欧]
ID: 27572	Hex: 6BB4	Char [殴]
ID: 29579	Hex: 738B	Char [王]
ID: 40236	Hex: 9D2C	Char [鴬]
ID: 40644	Hex: 9EC4	Char [黄]
ID: 23713	Hex: 5CA1	Char [岡]
ID: 27798	Hex: 6C96	Char [沖]
